Date,maxtemp,mintemp,avgtemp,dewpoint,wetbulb,stnpressure,avgspeed,daylength,precipitation,maxtemp_roll_7,mintemp_roll_7,avgtemp_roll_7,dewpoint_roll_7,wetbulb_roll_7,stnpressure_roll_7,avgspeed_roll_7,daylength_roll_7,precipitation_roll_7,maxtemp_roll_14,mintemp_roll_14,avgtemp_roll_14,dewpoint_roll_14,wetbulb_roll_14,stnpressure_roll_14,avgspeed_roll_14,daylength_roll_14,precipitation_roll_14
2007-05-01,84,50,67.5,51.0,56.5,29.14,9.399999999999999,841.0,0.0,,,,,,,,,,,,,,,,,,
2007-05-02,60,42,51.5,42.0,47.0,29.41,13.4,843.0,0.0,,,,,,,,,,,,,,,,,,
2007-05-03,67,46,57.0,40.0,49.0,29.425,12.55,845.0,0.0,,,,,,,,,,,,,,,,,,
2007-05-04,78,49,58.0,41.5,50.0,29.335,10.600000000000001,848.0,0.003,,,,,,,,,,,,,,,,,,
2007-05-05,66,53,60.0,38.5,49.5,29.43,11.75,850.0,0.002,,,,,,,,,,,,,,,,,,
2007-05-06,68,49,59.5,30.0,46.0,29.595,14.75,853.0,0.0,,,,,,,,,,,,,,,,,,
2007-05-07,84,47,66.0,40.0,53.5,29.41,10.2,855.0,0.0015,72.42857142857143,48.0,59.92857142857143,40.42857142857143,50.214285714285715,29.392142857142858,11.807142857142855,847.8571428571429,0.0009285714285714287,,,,,,,,,
2007-05-08,82,54,69.0,57.5,62.5,29.325,5.6,858.0,0.0035,72.14285714285714,48.57142857142857,60.142857142857146,41.357142857142854,51.07142857142857,29.41857142857143,11.264285714285714,850.2857142857143,0.0014285714285714286,,,,,,,,,
2007-05-09,77,61,69.5,59.5,63.0,29.245,6.050000000000001,860.0,0.075,74.57142857142857,51.285714285714285,62.714285714285715,43.857142857142854,53.357142857142854,29.395000000000003,10.214285714285712,852.7142857142857,0.012142857142857141,,,,,,,,,
2007-05-10,84,56,70.5,52.0,60.5,29.23,4.0,862.0,0.0,77.0,52.714285714285715,64.64285714285714,45.57142857142857,55.0,29.367142857142856,8.992857142857142,855.1428571428571,0.012142857142857141,,,,,,,,,
2007-05-11,73,49,61.0,43.0,51.0,29.36,12.850000000000001,864.0,0.0,76.28571428571429,52.714285714285715,65.07142857142857,45.785714285714285,55.142857142857146,29.370714285714286,9.314285714285713,857.4285714285714,0.011714285714285714,,,,,,,,,
2007-05-12,65,46,55.5,36.5,46.0,29.515,12.95,866.0,0.0,76.14285714285714,51.714285714285715,64.42857142857143,45.5,54.642857142857146,29.382857142857144,9.485714285714284,859.7142857142857,0.011428571428571427,,,,,,,,,
2007-05-13,69,43,56.5,32.5,46.0,29.52,7.85,868.0,0.0,76.28571428571429,50.857142857142854,64.0,45.857142857142854,54.642857142857146,29.372142857142858,8.499999999999998,861.8571428571429,0.011428571428571427,,,,,,,,,
2007-05-14,90,54,72.5,46.0,58.5,29.27,15.95,870.0,0.0,77.14285714285714,51.857142857142854,64.92857142857143,46.714285714285715,55.357142857142854,29.352142857142862,9.32142857142857,864.0,0.011214285714285713,74.78571428571429,49.92857142857143,62.42857142857143,43.57142857142857,52.785714285714285,29.372142857142855,10.564285714285713,855.9285714285714,0.0060714285714285705
2007-05-15,82,56,69.0,56.0,61.0,29.16,11.55,872.0,0.49,77.14285714285714,52.142857142857146,64.92857142857143,46.5,55.142857142857146,29.328571428571433,10.171428571428569,866.0,0.08071428571428572,74.64285714285714,50.357142857142854,62.535714285714285,43.92857142857143,53.107142857142854,29.37357142857143,10.717857142857142,858.1428571428571,0.04107142857142857
2007-05-16,66,44,55.0,42.5,47.5,29.36,12.0,874.0,0.10500000000000001,75.57142857142857,49.714285714285715,62.857142857142854,44.07142857142857,52.92857142857143,29.345000000000002,11.02142857142857,868.0,0.085,75.07142857142857,50.5,62.785714285714285,43.964285714285715,53.142857142857146,29.37,10.617857142857142,860.3571428571429,0.048571428571428564
2007-05-17,62,43,53.0,32.0,43.0,29.585,11.75,876.0,0.0,72.42857142857143,47.857142857142854,60.357142857142854,41.214285714285715,50.42857142857143,29.39571428571429,12.128571428571428,870.0,0.085,74.71428571428571,50.285714285714285,62.5,43.392857142857146,52.714285714285715,29.381428571428568,10.560714285714283,862.5714285714286,0.048571428571428564
2007-05-18,71,42,57.0,30.5,46.5,29.565,6.5,878.0,0.0,72.14285714285714,46.857142857142854,59.785714285714285,39.42857142857143,49.785714285714285,29.425000000000004,11.22142857142857,872.0,0.085,74.21428571428571,49.785714285714285,62.42857142857143,42.607142857142854,52.464285714285715,29.39785714285714,10.26785714285714,864.7142857142857,0.048357142857142855
2007-05-19,80,56,68.0,38.0,53.0,29.375,11.4,880.0,0.0,74.28571428571429,48.285714285714285,61.57142857142857,39.642857142857146,50.785714285714285,29.405000000000005,10.999999999999998,874.0,0.085,75.21428571428571,50.0,63.0,42.57142857142857,52.714285714285715,29.39392857142857,10.242857142857142,866.8571428571429,0.04821428571428571
2007-05-20,69,43,56.5,40.5,44.5,29.41,10.2,882.0,0.09,74.28571428571429,48.285714285714285,61.57142857142857,40.785714285714285,50.57142857142857,29.389285714285716,11.335714285714285,876.0,0.09785714285714286,75.28571428571429,49.57142857142857,62.785714285714285,43.32142857142857,52.607142857142854,29.380714285714287,9.917857142857141,868.9285714285714,0.05464285714285714
2007-05-21,80,44,62.5,50.0,56.5,29.36,8.0,884.0,0.0,72.85714285714286,46.857142857142854,60.142857142857146,41.357142857142854,50.285714285714285,29.40214285714286,10.2,878.0,0.09785714285714286,75.0,49.357142857142854,62.535714285714285,44.035714285714285,52.82142857142857,29.37714285714286,9.760714285714284,871.0,0.054535714285714285
2007-05-22,87,55,72.5,45.0,58.0,29.375,10.399999999999999,886.0,0.0,73.57142857142857,46.714285714285715,60.642857142857146,39.785714285714285,49.857142857142854,29.43285714285715,10.035714285714283,880.0,0.027857142857142865,75.35714285714286,49.42857142857143,62.785714285714285,43.142857142857146,52.5,29.380714285714287,10.103571428571428,873.0,0.054285714285714284
2007-05-23,89,60,76.5,48.5,61.0,29.43,11.5,887.0,0.0,76.85714285714286,49.0,63.714285714285715,40.642857142857146,51.785714285714285,29.442857142857147,9.964285714285712,881.8571428571429,0.012857142857142864,76.21428571428571,49.357142857142854,63.285714285714285,42.357142857142854,52.357142857142854,29.393928571428575,10.492857142857142,874.9285714285714,0.04892857142857143
2007-05-24,88,63,76.5,53.5,63.0,29.439999999999998,16.25,889.0,0.013000000000000001,80.57142857142857,51.857142857142854,67.07142857142857,43.714285714285715,54.642857142857146,29.42214285714286,10.607142857142856,883.7142857142857,0.014714285714285721,76.5,49.857142857142854,63.714285714285715,42.464285714285715,52.535714285714285,29.40892857142857,11.367857142857142,876.8571428571429,0.049857142857142864
2007-05-25,70,56,62.5,45.0,53.0,29.54,8.5,891.0,0.049,80.42857142857143,53.857142857142854,67.85714285714286,45.785714285714285,55.57142857142857,29.41857142857143,10.89285714285714,885.5714285714286,0.02171428571428572,76.28571428571429,50.357142857142854,63.82142857142857,42.607142857142854,52.67857142857143,29.421785714285715,11.057142857142855,878.7857142857143,0.05335714285714287
2007-05-26,70,49,58.5,55.0,56.5,29.39,7.5,893.0,0.645,79.0,52.857142857142854,66.5,48.214285714285715,56.07142857142857,29.420714285714286,10.335714285714284,887.4285714285714,0.11385714285714287,76.64285714285714,50.57142857142857,64.03571428571429,43.92857142857143,53.42857142857143,29.412857142857145,10.667857142857143,880.7142857142857,0.09942857142857144
2007-05-27,75,57,66.5,48.0,56.5,29.375,9.35,894.0,0.06,79.85714285714286,54.857142857142854,67.92857142857143,49.285714285714285,57.785714285714285,29.415714285714284,10.21428571428571,889.1428571428571,0.10957142857142857,77.07142857142857,51.57142857142857,64.75,45.035714285714285,54.17857142857143,29.402500000000003,10.775,882.5714285714286,0.10371428571428573
2007-05-28,79,50,65.0,48.0,56.5,29.46,5.25,895.0,0.001,79.71428571428571,55.714285714285715,68.28571428571429,49.0,57.785714285714285,29.43,9.821428571428568,890.7142857142857,0.10971428571428572,76.28571428571429,51.285714285714285,64.21428571428571,45.17857142857143,54.035714285714285,29.41607142857143,10.010714285714286,884.3571428571429,0.10378571428571429
2007-05-29,88,60,75.5,58.5,65.5,29.415,6.95,896.0,0.0,79.85714285714286,56.42857142857143,68.71428571428571,50.92857142857143,58.857142857142854,29.435714285714283,9.328571428571426,892.1428571428571,0.10971428571428572,76.71428571428571,51.57142857142857,64.67857142857143,45.357142857142854,54.357142857142854,29.434285714285718,9.682142857142855,886.0714285714286,0.0687857142857143
2007-05-30,89,66,78.5,57.5,65.5,29.345,10.35,898.0,0.0,79.85714285714286,57.285714285714285,69.0,52.214285714285715,59.5,29.423571428571424,9.164285714285711,893.7142857142857,0.10971428571428572,78.35714285714286,53.142857142857146,66.35714285714286,46.42857142857143,55.642857142857146,29.43321428571429,9.564285714285713,887.7857142857143,0.06128571428571429
2007-05-31,80,65,73.0,61.0,65.5,29.310000000000002,9.55,899.0,0.27,78.71428571428571,57.57142857142857,68.5,53.285714285714285,59.857142857142854,29.404999999999998,8.207142857142854,895.1428571428571,0.14642857142857144,79.64285714285714,54.714285714285715,67.78571428571429,48.5,57.25,29.413571428571434,9.407142857142857,889.4285714285714,0.08057142857142859
2007-06-01,86,62,75.5,63.0,66.5,29.22,6.1,901.0,0.2,81.0,58.42857142857143,70.35714285714286,55.857142857142854,61.785714285714285,29.35928571428571,7.864285714285711,896.5714285714286,0.168,80.71428571428571,56.142857142857146,69.10714285714286,50.82142857142857,58.67857142857143,29.38892857142858,9.378571428571428,891.0714285714286,0.09485714285714286
2007-06-02,81,65,74.0,62.5,67.0,29.065,7.8,901.0,0.022,82.57142857142857,60.714285714285715,72.57142857142857,56.92857142857143,63.285714285714285,29.312857142857144,7.907142857142853,897.7142857142857,0.07900000000000003,80.78571428571429,56.785714285714285,69.53571428571429,52.57142857142857,59.67857142857143,29.366785714285722,9.12142857142857,892.5714285714286,0.09642857142857143
